Semester,Prefix,Level,Outcome,N,Mean
Fall 2017,Prefix,Level,Outcome,N,Mean
Fall 2017,Prefix,Level,Outcome,N,Mean
Fall 2017,MATH,100,QNT3,25,2.48
Fall 2017,MATH,100,QNT3,27,3.22
Fall 2017,MATH,100,QNT3,58,2.05
Fall 2017,MATH,100,QNT3,29,2.55
Fall 2017,MATH,100,QNT3,22,3.27
Fall 2017,MATH,100,QNT3,16,3.19
Fall 2017,MATH,100,QNT3,46,2.89
Fall 2017,MATH,100,QNT3,119,3.45
Fall 2017,MATH,100,QNT3,28,1.96
Fall 2017,MATH,100,QNT3,27,1.00
Fall 2017,MATH,100,QNT3,28,3.54
Fall 2017,MATH,100,QNT3,54,2.65
Fall 2017,MATH,100,QNT3,18,1.61
Fall 2017,MATH,100,QNT3,28,2.14
Fall 2017,MATH,100,QNT3,23,2.78
Fall 2017,MATH,100,QNT3,20,3.80
Fall 2017,MATH,100,QNT3,20,2.25
Fall 2017,MATH,100,QNT3,18,2.56
Fall 2017,MATH,200,QNT3,48,2.35
Fall 2017,MATH,200,QNT3,30,2.77
Fall 2017,MATH,200,QNT3,64,2.55
Fall 2017,NA,NA,NA,NA,2.69
